url_length,url_entropy,num_subdomains,contains_ip,suspicious_tokens,num_redirects,external_domain_calls,https_used,script_count,script_density,inline_script_ratio,permission_requests,auto_downloads,popup_count,time_on_page,repeat_visits,session_frequency
30,3.2324308738290104,1,0,0,1,2,1,4,0.2516526281169592,0.07161181790197994,0,0,0,119.83975768463719,4,2
27,3.6203213073175724,2,0,0,1,2,1,4,0.36922912294566534,0.12898676999889408,0,0,0,148.11996343777938,3,2
36,2.7347479486655337,0,0,1,1,3,1,8,0.13615677363593934,0.15965355071874227,0,0,0,50.81584444570087,4,2
21,2.657839377156464,1,0,1,1,1,1,5,0.2461636020765742,0.05371473163642268,0,0,0,59.811044323189094,2,2
42,2.6760445047631762,1,0,1,0,1,1,3,0.2298404683678953,0.12396150646813611,0,0,0,62.49751322662638,2,1
20,3.7402663354363392,0,0,1,1,1,1,3,0.3270997396516686,0.05703447016868299,0,0,0,62.987597124049174,3,2
58,2.9246084774724115,0,0,0,0,3,1,8,0.3681918005273288,0.19615241847860465,0,0,0,27.401906774399993,3,1
55,3.2305158295755625,0,0,1,1,1,1,8,0.2298519763171517,0.13033137096466973,0,0,0,96.3173428188246,2,3
26,2.9063774323807903,2,0,0,1,3,1,7,0.38036316421465466,0.09550783154436998,0,0,0,145.10254607950236,3,3
39,3.407839362663223,2,0,1,1,3,1,8,0.3173673727476455,0.09672684485209791,0,0,0,145.26777828121158,4,3
58,2.5902509955699213,0,0,1,1,1,1,6,0.17011362457312992,0.13100178719067662,0,0,0,160.81265400983332,2,3
55,2.894066862728927,1,0,0,1,1,1,7,0.2038965305767011,0.08585829982958984,0,0,0,101.5558794802717,3,2
45,3.126593393052727,1,0,0,0,2,1,4,0.38353673462346616,0.09240010408117386,0,0,0,93.73899764314432,2,2
53,3.1388294424624688,0,0,0,0,3,1,8,0.20895673711486754,0.057840300134239485,0,0,0,129.6861792900197,3,1
41,2.8973430458870384,0,0,0,1,1,1,6,0.12171681947929311,0.09355523187290309,0,0,0,161.1576129633224,2,1
28,3.657307608334502,0,0,0,1,2,1,5,0.32137833069964017,0.13961438638601303,0,0,0,160.9432256871604,1,1
90,4.611575252936441,7,0,4,4,10,0,17,0.8738792028720402,0.6720910771156504,5,0,8,3.2588783697086323,0,8
26,3.26413798418319,0,0,1,1,2,1,9,0.3458487056158157,0.09901083358529505,0,0,0,75.93830380923555,3,3
45,3.568050999289089,0,0,0,1,3,1,4,0.39042175087290354,0.16294792895587779,0,0,0,149.78601662066114,4,3
59,3.668201503226512,0,0,0,1,3,1,3,0.39339802712147043,0.1991431978641589,0,0,0,108.89874474918446,3,1
54,3.6540154375857896,2,0,0,1,3,1,6,0.30640900305251173,0.17554458113560611,0,0,0,158.69899284973462,2,3
51,2.8564088665277474,1,0,1,1,1,1,3,0.2787252184566871,0.11017818710584741,0,0,0,78.7129726727681,2,1
